name,Standardized_Name,Brand,Category,Sub_Category,Micro_Category,Size_Weight,mrp
Mudra Rava,Mudra Rava,Unknown,"Atta, Rice & Dal",Atta & Flours,Rava / Semolina,pc,37
Rai 100Gm,Halim100G,Unknown,Masala & Dry Fruits,Seeds & Herbs,Seeds & Dry Herbs,100g,20
Rai 250G,Kaju 250Gf,Unknown,Masala & Dry Fruits,Dry Fruits,Dry Fruits,pc,50
Chanting Hare Krishna,Chanting Hare Krishna,Unknown,Pooja Needs,Spiritual Books & Literature,Religious Books,pc,295
Rai Barik 100G,Rai Barik,Unknown,Masala & Dry Fruits,Masalas & Spices,Blended Masalas,100g,20
Rai Barik 250G,Rai Barik,Unknown,Masala & Dry Fruits,Masalas & Spices,Blended Masalas,100g,50
Chanting Hare Krishna,Chanting Hare Krishna,Unknown,Pooja Needs,Spiritual Books & Literature,Religious Books,pc,300
Chant Be Happy,Chant Be Happy,Unknown,Pooja Needs,Spiritual Books & Literature,Religious Books,pc,600
Sealer 1Ltr,Sealer,Unknown,Home & Lifestyle,Tools & Hardware,Sealers & Polish,1L,415
Musician,Musician,Unknown,Snacks & Munchies,Namkeen & Farsan,Namkeen & Mixtures,pc,300
Prabhupada Image,Prabhupada Image,Unknown,Pooja Needs,Idols & Frames,Spiritual Photo Frames,pc,150
Chant Be Happy,Chant Be Happy,Unknown,Pooja Needs,Spiritual Books & Literature,Religious Books,pc,275
Bhagavad Gita,Bhagavad Gita,Unknown,Pooja Needs,Spiritual Books & Literature,Religious Books,pc,300
Raidal,Raidal,Unknown,"Atta, Rice & Dal",Dals & Pulses,Dals & Legumes,pc,120
Bhagavad Gita As It Is,Bhagavad Gita As It Is,Unknown,Pooja Needs,Spiritual Books & Literature,Religious Books,pc,550
Bhagavad Gita,Bhagavad Gita,Unknown,Pooja Needs,Spiritual Books & Literature,Religious Books,pc,280
Chamara Seva,Chamara Seva,Unknown,Pooja Needs,Spiritual Books & Literature,Religious Books,pc,50
Ekadasa Rudrabhisheka Shiva,Ekadasa Rudrabhisheka Shiva,Unknown,Pooja Needs,Spiritual Books & Literature,Religious Books,pc,3000
Note Book,Note Book,Unknown,Home & Lifestyle,Stationery,Notebooks & Books,pc,100
Book,Book,Unknown,Pooja Needs,Pooja Accessories,Pooja Samagri,pc,450
Book1,Book1,Unknown,Pooja Needs,Pooja Accessories,Pooja Samagri,pc,500
Book2,Book2,Unknown,Pooja Needs,Pooja Accessories,Pooja Samagri,pc,500
Note Book,Note Book,Unknown,Home & Lifestyle,Stationery,Notebooks & Books,pc,150
Note Book,Note Book,Unknown,Home & Lifestyle,Stationery,Notebooks & Books,pc,200
Siler 500 Gm,Siler,Unknown,Home & Lifestyle,Tools & Hardware,Sealers & Polish,500g,180
Raidal,Raidal,Unknown,"Atta, Rice & Dal",Dals & Pulses,Dals & Legumes,pc,240
Raidal 100Gm,Raidal,Unknown,"Atta, Rice & Dal",Dals & Pulses,Dals & Legumes,pc,24
Prasadam,Prasadam,Unknown,Snacks & Munchies,Namkeen & Farsan,Namkeen & Mixtures,pc,30
Bhagavad Gita As It Is,Bhagavad Gita As It Is,Unknown,Pooja Needs,Spiritual Books & Literature,Religious Books,pc,300
Coming Back (Hindi),Coming Back (Hindi),Unknown,Pooja Needs,Spiritual Books & Literature,Religious Books,pc,450
Bhagavad Gita As It Is,Bhagavad Gita As It Is,Unknown,Pooja Needs,Spiritual Books & Literature,Religious Books,pc,500
Ribbon Pakoda-1000Gm,Ribbon Pakoda,Unknown,Snacks & Munchies,Namkeen & Farsan,Hot Snacks,1000g,5
Mixture Regular-145Gm,Mixture Regular,Unknown,Snacks & Munchies,Namkeen & Farsan,Mixture & Bhel,145g,30
Gaurchana Milk Abhisheka,Gaurchana Milk Abhisheka,Unknown,Pooja Needs,Spiritual Books & Literature,Religious Books,pc,150
Mahaprasadam,Mahaprasadam,Unknown,Pooja Needs,Spiritual Books & Literature,Religious Books,pc,3600
Nithya Anadhana,Nithya Anadhana,Unknown,Pooja Needs,Spiritual Books & Literature,Religious Books,pc,1116
Rudrabhisheka To Shiva,Rudrabhisheka To Shiva,Unknown,Pooja Needs,Spiritual Books & Literature,Religious Books,pc,108
Samosa,Samosa,Unknown,Snacks & Munchies,Namkeen & Farsan,Hot Snacks,pc,30
Bakery Exempt,Bakery Exempt,Unknown,Snacks & Munchies,Namkeen & Farsan,Namkeen & Mixtures,pc,50
Bread Pakoda-150Gm,Bread Pakoda,Unknown,Snacks & Munchies,Namkeen & Farsan,Hot Snacks,150g,60
Bread Roll-150Gm,Bread Roll,Unknown,Snacks & Munchies,Namkeen & Farsan,Hot Snacks,150g,60
Chakkuli-200Gm,Chakkuli,Unknown,Snacks & Munchies,Namkeen & Farsan,Chakali & Murukku,200g,2
Chilly Bhajji-200Gm,Chilly Bhajji,Unknown,Snacks & Munchies,Namkeen & Farsan,Namkeen & Mixtures,200g,400
Dhokla Fry-120Gm,Dhokla Fry,Unknown,Snacks & Munchies,Namkeen & Farsan,Hot Snacks,120g,90
Kodubale-200Gm,Kodubale,Unknown,Snacks & Munchies,Namkeen & Farsan,Chakali & Murukku,200g,10
Masala Groundnut-200Gm,Masala Groundnut,Unknown,Snacks & Munchies,Namkeen & Farsan,Roasted & Masala Nuts,200g,105
Muruku-200Gm,Muruku,Unknown,Snacks & Munchies,Namkeen & Farsan,Chakali & Murukku,200g,25
Nippattu-200Gm,Nippattu,Unknown,Snacks & Munchies,Namkeen & Farsan,Chakali & Murukku,200g,3
Thengal-75Gm,Thengal,Unknown,Snacks & Munchies,Namkeen & Farsan,Roasted & Masala Nuts,75g,263
Veg Roll-120Gm,Veg Roll,Unknown,Snacks & Munchies,Namkeen & Farsan,Hot Snacks,120g,10
Ribbon Pakoda - 150Gm,Ribbon Pakoda,Unknown,Snacks & Munchies,Namkeen & Farsan,Hot Snacks,1000g,2
Sadabahar Mixture-200Gm,Sadabahar Mixture,Unknown,Snacks & Munchies,Namkeen & Farsan,Mixture & Bhel,200g,55
Mixture Special - 300Gm,Mixture Special,Unknown,Snacks & Munchies,Namkeen & Farsan,Mixture & Bhel,300g,10
Masala Puri-100Gm,Masala Puri,Unknown,Snacks & Munchies,Farsan & Chakli,Masala Puri,pc,399
Raidal 250Gm,Raidal,Unknown,"Atta, Rice & Dal",Dals & Pulses,Dals & Legumes,pc,60
Dilpasand-90Gm,Dilpasand,Unknown,Sweet Tooth,Indian Mithai,Traditional Sweets,90g,2
Coconut Burfi-250Gm,Coconut Burfi,Unknown,Sweet Tooth,Indian Mithai,Barfi & Khatli,250g,295
Jamoon-65Gm,Jamoon,Unknown,Sweet Tooth,Indian Mithai,Gulab Jamun & Rasgulla,65g,5
Rasagulla-65Gm,Rasagulla,Unknown,Sweet Tooth,Indian Mithai,Gulab Jamun & Rasgulla,65g,10
Boondi Laddu-50Gm,Boondi Laddu,Unknown,Sweet Tooth,Indian Mithai,Laddoos,50g,10
Kaju Kesar Burfi-1000Gm,Kaju Kesar Burfi,Unknown,Sweet Tooth,Indian Mithai,Barfi & Khatli,1000g,10
Kaju Burfi / Khatli-1000Gm,Kaju Burfi / Khatli,Unknown,Sweet Tooth,Indian Mithai,Barfi & Khatli,1000g,126
Kaju Pista Roll-1000Gm,Kaju Pista Roll,Unknown,Sweet Tooth,Indian Mithai,Barfi & Khatli,1000g,85
Khajoor Laddu-35Gm,Khajoor Laddu,Unknown,Sweet Tooth,Indian Mithai,Laddoos,35g,10
Sohan Papadi-250Gm,Sohan Papadi,Unknown,Sweet Tooth,Indian Mithai,Soan Papdi,250g,10
Chandrakala-50Gm,Chandrakala,Unknown,Sweet Tooth,Indian Mithai,Traditional Sweets,50g,10
Dharwad Peda-250Gm,Dharwad Peda,Unknown,Sweet Tooth,Indian Mithai,Peda,250g,17
Doodh Peda-250Gm,Doodh Peda,Unknown,Sweet Tooth,Indian Mithai,Peda,250g,10
Kesar Peda-250Gm,Kesar Peda,Unknown,Sweet Tooth,Indian Mithai,Peda,250g,10
Malai Laddu-180Gm,Malai Laddu,Unknown,Sweet Tooth,Indian Mithai,Laddoos,180g,1
Malai Peda-250Gm,Malai Peda,Unknown,Sweet Tooth,Indian Mithai,Peda,250g,40
Pineapple Roll-250Gm,Pineapple Roll,Unknown,Sweet Tooth,Indian Mithai,Barfi & Khatli,250g,20
Rajasthan Peda-250Gm,Rajasthan Peda,Unknown,Sweet Tooth,Indian Mithai,Peda,250g,50
Spl Malai Peda-250Gm,Spl Malai Peda,Unknown,Sweet Tooth,Indian Mithai,Peda,250g,15
Spl Mysore Pak-250Gm,Spl Mysore Pak,Unknown,Sweet Tooth,Indian Mithai,Mysore Pak & Badhusha,250g,5
Badhusha-50Gm,Badhusha,Unknown,Sweet Tooth,Indian Mithai,Mysore Pak & Badhusha,50g,75
Bele Holige-80Gm,Bele Holige,Unknown,Sweet Tooth,Indian Mithai,Puran Poli & Holige,80g,19
Besan Laddu-180Gm,Besan Laddu,Unknown,Sweet Tooth,Indian Mithai,Laddoos,180g,35
Bombay Halwa-250Gm,Bombay Halwa,Unknown,Sweet Tooth,Indian Mithai,Halwa,250g,10
Boondi Laddu-230Gm,Boondi Laddu,Unknown,Sweet Tooth,Indian Mithai,Laddoos,50g,10
Coconut Holige-75Gm,Coconut Holige,Unknown,Sweet Tooth,Indian Mithai,Puran Poli & Holige,75g,56
Dry Fruit Halwa-250Gm,Dry Fruit Halwa,Unknown,Sweet Tooth,Indian Mithai,Halwa,250g,108
Jagannath Khaja 5 In 1-250Gm,Jagannath Khaja,Unknown,Sweet Tooth,Indian Mithai,Khaja,5pcs,100
Jahangir-80Gm,Jahangir,Unknown,Sweet Tooth,Indian Mithai,Traditional Sweets,80g,10
Jeelebi-120Gm,Jeelebi,Unknown,Sweet Tooth,Indian Mithai,Jalebi,120g,33
Kaju Khatli-200Gm,Kaju Khatli,Unknown,Sweet Tooth,Indian Mithai,Barfi & Khatli,200g,65
Khajoor Laddu-210Gm,Khajoor Laddu,Unknown,Sweet Tooth,Indian Mithai,Laddoos,35g,167
M.P Laddu-300Gm,M.P Laddu,Unknown,Sweet Tooth,Indian Mithai,Laddoos,300g,3
Malpua-135Gm,Malpua,Unknown,Sweet Tooth,Indian Mithai,Malpua,135g,10
Motichoor Laddu-50Gm,Motichoor Laddu,Unknown,Sweet Tooth,Indian Mithai,Laddoos,50g,1680
Small Khaja-170Gm,Small Khaja,Unknown,Sweet Tooth,Indian Mithai,Khaja,170g,210
Chocolate Jeelebi-Box,Chocolate Jeelebi-Box,Unknown,Sweet Tooth,Chocolates & Bars,Chocolate Bars,pc,10
Coconut Holige-4 In 1-300Gms,Coconut Holige,Unknown,Sweet Tooth,Indian Mithai,Puran Poli & Holige,75g,20
Mawa Khatli - 250Gm,Mawa Khatli,Unknown,Sweet Tooth,Indian Mithai,Barfi & Khatli,250g,10
Pitambari Powder 175G,Pitambari Powder,Pitambari,Cleaning Essentials,Floor Cleaners,Floor Cleaner,175g,45
Oatmeal Biscuit-160Gm,Oatmeal Biscuit,Unknown,Snacks & Munchies,Biscuits & Cookies,Biscuits & Cookies,160g,1770
