name,category_name,mrp,packaging
MUDRA RAVA,Miscellaneous,37,RAVA
Rai 100gm,Miscellaneous,20,100g
GHI,Test,500,GHI
Rai 250g,Miscellaneous,50,250g
Chanting Hare Krishna,Book,295,Krishna
Rai Barik 100g,Miscellaneous,20,100g
Balls,Test,1000,Balls
JKL,Test,700,JKL
Rai Barik 250g,Cereal  Mixes,50,250g
MNO,Test,100,MNO
PQR,Test,100,PQR
DEF,Test,1000,DEF
Abcd,Book,100,Abcd
Test Krishna Image,Photo,1000,Image
Test Stock GRN,,1000,GRN
Chanting Hare Krishna,Book,300,Krishna
Chant Be Happy,Book,600,Happy
Test Kalyan,Book,100,Kalyan
sealer 1ltr,,415,1ltr
Ticket @1,Uncategorised,1,@1
Musician,,300,Musician
Prabhupada Image,Photo,150,Image
TICKET @ 100,Test,100,100
Chant Be Happy,Book,275,Happy
Bhagavad Gita,Uncategorised,300,Gita
Test 2010,Test,380,2010
Raidal,Miscellaneous,120,Raidal
Bhagavad Gita As It Is,Book,550,Is
Bhagavad Gita,Book,280,Gita
ABC,Test,1000,ABC
Abhisheka/pradhosha Pooja,Book,100,Pooja
Chamara Seva,Book,50,Seva
Ekadasa Rudrabhisheka Shiva,Book,3000,Shiva
Gau Pooja Gomaata Naga Pooja,Book,100,Pooja
Test 2010,Test,400,2010
Nvghvnh,Book,100,Nvghvnh
Banana,Test,20,Banana
Box,Test,100,Box
Paper,Test,150,Paper
Paper Box,Test,200,Box
PANEER,Test,320,PANEER
Test Ltr,Test,250,Ltr
Woodland,Test,1000,Woodland
Paperball,Test,700,Paperball
Note Book,Book,100,Book
Book,Book,450,Book
Book1,Book,500,Book1
Book2,Book,500,Book2
Note Book,Book,150,Book
Note Book,Book,200,Book
Paper Roll,Test,1000,Roll
Siler 500 Gm,,180,g
Raidal,Miscellaneous,240,Raidal
Raidal 100gm,Miscellaneous,24,100g
Prasadam,,30,Prasadam
Bhagavad Gita As It Is,Book,300,Is
Coming Back (Hindi),Book,450,(Hindi)
Bhagavad Gita As It Is,Book,500,Is
Ribbon Pakoda-1000GM,,5,1000g
Mixture Regular-145GM,,30,145g
Gaurchana Milk Abhisheka,Book,150,Abhisheka
Mahaprasadam,Book,3600,Mahaprasadam
nithya Anadhana,Book,1116,Anadhana
Rudrabhisheka To Shiva,Book,108,Shiva
Samosa,,30,Samosa
Carry Bag Taxable @5%,Misc,10,@5%
Bakery Taxable @5%,Misc,80,@5%
Honey Taxable @5%,Misc,150,@5%
Bakery Taxable @ 18%,Bakery,75,18%
Bakery Exempt,Bakery,50,Exempt
Water Bottle Taxable @18%,Misc,40,@18%
Bakery Taxable @5%,Bakery,60,@5%
Bread Pakoda-150GM,,60,150g
Bread Roll-150GM,,60,150g
Chakkuli-200GM,,2,200g
Chilly Bhajji-200GM,,400,200g
Dhokla Fry-120GM,,90,120g
Kodubale-200GM,,10,200g
Masala Groundnut-200GM,,105,200g
Muruku-200GM,,25,200g
Nippattu-200GM,,3,200g
Thengal-75GM,,263,75g
Veg Roll-120GM,,10,120g
Ribbon Pakoda - 150GM,,2,150g
Sadabahar Mixture-200GM,,55,200g
Mixture Special - 300GM,,10,300g
Masala Puri-100GM,,399,100g
Raidal 250gm,Miscellaneous,60,250g
Dilpasand-90GM,,2,90g
Coconut Burfi-250GM,,295,250g
Jamoon-65GM,,5,65g
Rasagulla-65GM,,10,65g
Boondi Laddu-50GM,,10,50g
Kaju Kesar Burfi-1000GM,,10,1000g
Kaju Burfi / Khatli-1000GM,,126,1000g
Kaju Pista Roll-1000GM,,85,1000g
Khajoor Laddu-35GM,,10,35g
Sohan Papadi-250GM,,10,250g
Chandrakala-50GM,,10,50g
Dharwad Peda-250GM,,17,250g
Doodh Peda-250GM,,10,250g
Kesar Peda-250GM,,10,250g
Malai Laddu-180GM,,1,180g
Malai Peda-250GM,,40,250g
Pineapple Roll-250GM,,20,250g
Rajasthan Peda-250GM,,50,250g
Spl Malai Peda-250GM,,15,250g
Spl Mysore Pak-250GM,,5,250g
Badhusha-50GM,,75,50g
Bele Holige-80GM,,19,80g
Besan Laddu-180GM,,35,180g
Bombay Halwa-250GM,,10,250g
Boondi Laddu-230GM,,10,230g
Coconut Holige-75GM,,56,75g
Dry Fruit Halwa-250GM,,108,250g
Jagannath Khaja 5 in 1-250GM,,100,250g
Jahangir-80GM,,10,80g
Jeelebi-120GM,,33,120g
Kaju Khatli-200GM,,65,200g
Khajoor Laddu-210GM,,167,210g
M.P Laddu-300GM,,3,300g
Malpua-135GM,,10,135g
Motichoor Laddu-50GM,,1680,50g
Small Khaja-170GM,,210,170g
Chocolate Jeelebi-Box,,10,Box
Coconut Holige-4 in 1-300GMS,,20,300gS
Mawa khatli - 250GM,,10,250g
Pitambari Powder 175g ,Cleaning Accessories,45,
Oatmeal Biscuit-160GM,,1770,160g
Ragi Biscuit-160GM,,10,160g
Red Velvet Cookies-55GM,,5,55g
Spl Salt Biscuit-160GM,,5,160g
Sugar Free Biscuit-160GM,,10,160g
Coconut Walnut Butter Delight Cookies-125GM,,40,125g
Jam Drop Butter Cookies-125GM,,20,125g
Butter Cream Cake-Pineapple-1000GM,,5,1000g
Butter Cream Cake-Vanilla-60GM,,166,60g
Banana Walnut Cake-330GM,,138,330g
Plum Cake 6 in 1-250GM,,10,250g
Plum Cake 12 in 1-500GM,,5,500g
Wheat Cake-300GM,,5,300g
Fruit Cake-150GM,,10,150g
Black Forest Pastry-1000GM,,33,1000g
Chocolate Muffin-2 in 1-80GM,,5,80g
Dates & Walnut Muffin-80GM,,219,80g
Vanilla Surprise Muffin-75GM,,63,75g
Raidal 50gm,Miscellaneous,12,50g
Veg Pulav,,10,Pulav
Coconut Biscuit-160GM,,15,160g
Dry Coconut Biscuit-290GM,,6,290g
Milk Biscuit-160GM,,10,160g
Baked Nippattu-75GM,,70,75g
Assorted Doughnut-120GM,,122,120g
Rusk-220GM,,10,220g
Rajama Black 250gm,Miscellaneous,50,250g
Cinthol Deo 100g*3U,Bathing soaps & Gels,150,100g*3U
Mawa Peda - 250GM,,20,250g
Fruit Bread-330GM,Bakery Exempt,2,330g
Khara Bun-135GM,Bakery Exempt,10,135g
Masala Bread-330GM,Bakery Exempt,2,330g
Multi Grain Bread-350GM,Bakery Exempt,10,350g
Ragi Bread-400GM,Bakery Exempt,18.9,400g
Rajama White 250gm,Miscellaneous,50,250g
Sweet Bread-310GM,Bakery Exempt,61,310g
Wheat Salt Bread-375GM,Bakery Exempt,10,375g
Wheat Sweet Bread-375GM,,53,375g
Multi Grain Biscuit-160GM,,2,160g
Masala Puff-135GM,Bakery Exempt,25,135g
Cinemon Roll-90GM,Bakery Exempt,10,90g
Brown Bread-385GM,Bakery Exempt,189,385g
Puliyogare-140GM,,10,140g
Corn Puff mini-70GM,,10,70g
"Cloth Carry Bag-14""x16""",,20,"14""x16"""
Agarbatti,Book,300,Agarbatti
Karnataka Honey-500GM,,53,500g
Karnataka Honey-250GM,,53,250g
Samosa-100GM,,10,100g
Coconut Set with Butti-Rs.70,,54,Rs.70
Test 12345,Book,100,12345
Water-Bisleri-500ML,,10,500ML
Choco Doughnut-85GM,Water Bottle Taxable @18%,126,85g
Ragi Rusk-220GM,,10,220g
Test12,Book,100,Test12
Krishna Image,Photo,255,Image
Cheesecake-210GM,Water Bottle Taxable @18%,123,210g
Double Chocolate Cookies-160GM,,15,160g
Crockery Set,Misc,122,Set
Crockery Set,Misc,122,Set
Breakfast Chocolate Bun-180GM,Bakery Exempt,10,180g
Jam Bun-90GM,Bakery Exempt,60,90g
Water Bottle 250ml,,53,250ml
Sweet Bun-135GM,Bakery Exempt,75,135g
Surf Excel Liq. TL 4L,Detergent Powders,718,4L
Panneer,Bakery,400,Panneer
Masala Bread-330GM,Bakery Exempt,25,330g
Cold Coffee,Uncategorised,125,Coffee
Rice,Book,100,Rice
A Second Chance (Hindi),Book,300,(Hindi)
Demo test1234,Photo,300,test1234
A Second Chance (Hindi),Book,3000,(Hindi)
Dhaniya 100g,Miscellaneous,25,100g
12 Eggs,Miscellaneous,80,Eggs
6Eggs,,32,6Eggs
Aam Papad,Miscellaneous,25,Papad
Cheese Ring,Miscellaneous,20,Ring
Upwas Wefers 100 Gm,Miscellaneous,25,g
Medicare Anti Lise Shampoo 50ml,Miscellaneous,50,50ml
Vatika Hair Oil 75ml,Miscellaneous,42,75ml
Vatika Hair Oil 150ml,Miscellaneous,84,150ml
Rice,Miscellaneous,25,Rice
6Eggs,,35,6Eggs
Idex Pain Balm 16g,Miscellaneous,55,16g
4.99E+12,Miscellaneous,70,4.99E+12
5 STAR 10.1GM PLPCH NEW SOFTER BAR,Chocolate & Confectionaries,5,BAR
5 STAR 40 GM PLPCH NEW SOFTER BAR CHOCO MILK,Chocolate & Confectionaries,20,MILK
50-50 Maska Chaska 105g,Miscellaneous,30,105g
7.62E+12,Miscellaneous,5,7.62E+12
7.62E+12,Miscellaneous,85,7.62E+12
8.90E+12,Masala & Spices,70,8.90E+12
Test,Uncategorised,10,Test
Grgrgrg,Bakery,85858,Grgrgrg
Khara Bun-135GM,Bakery Exempt,5555,135g
Atta,Uncategorised,120,Atta
Mouse,Book,100,Mouse
Cadbury Celebration 158.6g,Chocolate & Confectionaries,160,158.6g
8.90E+12,Miscellaneous,195,8.90E+12
8.90E+12,Miscellaneous,100,8.90E+12
8.90E+12,Miscellaneous,120,8.90E+12
8.90E+12,Miscellaneous,14,8.90E+12
8.90E+12,Miscellaneous,242,8.90E+12
8.90E+12,Miscellaneous,20,8.90E+12
8.90E+12,Miscellaneous,50,8.90E+12
8.90E+12,Miscellaneous,175,8.90E+12
8.90E+12,Miscellaneous,30,8.90E+12
8.90E+12,Miscellaneous,60,8.90E+12
8.90E+12,Miscellaneous,60,8.90E+12
8.90E+12,Miscellaneous,140,8.90E+12
8.90E+12,Miscellaneous,90,8.90E+12
8.90E+12,Miscellaneous,50,8.90E+12
8.90E+12,Miscellaneous,10,8.90E+12
8.90E+12,Miscellaneous,50,8.90E+12
8.90E+12,Miscellaneous,40,8.90E+12
8.90E+12,Miscellaneous,30,8.90E+12
8.90E+12,Miscellaneous,60,8.90E+12
8.90E+12,Miscellaneous,55,8.90E+12
8.90E+12,Miscellaneous,25,8.90E+12
8.91E+12,Miscellaneous,80,8.91E+12
8.91E+12,Miscellaneous,199,8.91E+12
8.91E+12,Miscellaneous,70,8.91E+12
90048007,Miscellaneous,37,90048007
ACHAR MASALA. 250g,Miscellaneous,160,250g
AMPORIOS JEERA AJWAIN STICKS,Sweets & Methai,39,STICKS
Gulab CP Sesame Oil 1L,Cooking Oils,590,1L
Hide&seek Cream Sandwiches 400g,Biscuits,180,400g
AMUL 200 GM CUBE ( 8X25GM ) [PROCHS],"Cheese, Cheese Spreads,Paneer",127,[PROCHS]
AMUL FRESH CREAM\CREAM\TBA 250 ML- 12,"Butter, Fresh Cream, Etc",67,12
AMUL [BUTTER] 100 GM [SALTED],Ghee,56,[SALTED]
ANUVED CHANAN,Miscellaneous,75,CHANAN
ARIEL MATICK 4+2,Miscellaneous,1499,4+2
ASR 90 GM PLPCH COCONUT GREEN CHUTNEY,"Sauces, Jams & Spreads",50,CHUTNEY
ASR Chutney Powder 100g,Miscellaneous,44,100g
Aashirvaad Atta 1kg,Whole Wheat & Wheat Flour,60,1kg
Achar Masala 100g,Fitness Accessories,80,100g
Ahemdabadi Mix,Miscellaneous,70,Mix
Ahmadabadi Mix,Snacks,75,Mix
Aipino Organic Pb Crunch. U. S.,Miscellaneous,549,S.
Barik Mataki 250gm,Miscellaneous,65,250g
KLF Coconut Oil 450ml,Cooking Oils,287,450ml
Akhabari Roasted Pista,Miscellaneous,1800,Pista
Alashi,Miscellaneous,100,Alashi
Alashi,Miscellaneous,200,Alashi
Alashi 100g,Miscellaneous,24,100g
Alashi50g,Miscellaneous,12,50g
Alpino Classic Pb .crunch,Miscellaneous,199,.crunch
Alpino Hp. Pb. Crunch Natural,Miscellaneous,279,Natural
Alpino Natural Pb. Crunch U.s.,Miscellaneous,219,U.s.
Alpino Organic Pb. Crunch U. S.,Miscellaneous,249,S.
Alpino Classic P.b.crunch,Miscellaneous,499,P.b.crunch
Alpino Classic P.b.smooth,Miscellaneous,449,P.b.smooth
Alpino Hp. Pb. Crunch Natural,Miscellaneous,649,Natural
Alpino Hp. Pb. Dark Choclate,Miscellaneous,275,Choclate
Amar Tea,Tea,85,Tea
Ambi pur exotic jasmine room freshener,Miscellaneous,279,freshener
Amul 300 Gm Plcnt Chocominis [Mouldd],Chocolate & Confectionaries,140,[Mouldd]
Amul Butter 200g,Ghee,118,200g
Amul Cow Ghee 1L,Ghee,555,1L
