packaging,base_name,ecommerce_category,mrp
standard,MUDRA RAVA,Flours & Semolina,37
100g,Rai,Food & Grocery,20
250g,Rai,Food & Grocery,50
standard,Chanting Hare Krishna,Books & Media,295
100g,Rai Barik,Food & Grocery,20
250g,Rai Barik,Cereals & Breakfast,50
standard,Chanting Hare Krishna,Books & Media,300
standard,Chant Be Happy,Books & Media,600
1ltr,sealer,Household Utilities,415
standard,Bhagavad Gita,Books & Media,280
standard,Abhisheka/pradhosha Pooja,Books & Media,100
standard,Chamara Seva,Books & Media,50
standard,Ekadasa Rudrabhisheka Shiva,Books & Media,3000
standard,Gau Pooja Gomaata Naga Pooja,Books & Media,100
standard,Note Book,Books & Media,100
standard,Book,Books & Media,450
standard,Book1,Books & Media,500
standard,Book2,Books & Media,500
standard,Note Book,Books & Media,150
standard,Note Book,Books & Media,200
standard,Siler 500 g,Household Utilities,180
standard,Raidal,Food & Grocery,240
100g,Raidal,Food & Grocery,24
standard,Prasadam,Temple Prasadam,30
standard,Bhagavad Gita As It Is,Books & Media,300
standard,Coming Back (Hindi),Books & Media,450
standard,Bhagavad Gita As It Is,Books & Media,500
1000g,Ribbon Pakoda,Snacks & Namkeen,5
145g,Mixture Regular,Snacks & Namkeen,30
standard,Gaurchana Milk Abhisheka,Books & Media,150
standard,Mahaprasadam,Books & Media,3600
standard,nithya Anadhana,Books & Media,1116
standard,Rudrabhisheka To Shiva,Books & Media,108
standard,Samosa,Snacks & Namkeen,30
standard,Carry Bag Taxable  ,Food & Grocery,10
standard,Bakery Taxable  ,Food & Grocery,80
standard,Honey Taxable  ,Honey & Natural Sweeteners,150
standard,Bakery Taxable  ,Bakery & Breads,75
standard,Bakery Exempt,Bakery & Breads,50
standard,Water Bottle Taxable  ,Food & Grocery,40
standard,Bakery Taxable  ,Bakery & Breads,60
150g,Bread Pakoda,Snacks & Namkeen,60
150g,Bread Roll,Snacks & Namkeen,60
200g,Chakkuli,Snacks & Namkeen,2
200g,Chilly Bhajji,Temple Prasadam,400
120g,Dhokla Fry,Temple Prasadam,90
200g,Kodubale,Snacks & Namkeen,10
200g,Masala Groundnut,Temple Prasadam,105
200g,Muruku,Snacks & Namkeen,25
200g,Nippattu,Snacks & Namkeen,3
75g,Thengal,Temple Prasadam,263
120g,Veg Roll,Snacks & Namkeen,10
150g,Ribbon Pakoda  ,Snacks & Namkeen,2
200g,Sadabahar Mixture,Snacks & Namkeen,55
300g,Mixture Special  ,Snacks & Namkeen,10
100g,Masala Puri,Temple Prasadam,399
250g,Raidal,Food & Grocery,60
90g,Dilpasand,Indian Sweets,2
250g,Coconut Burfi,Indian Sweets,295
65g,Jamoon,Indian Sweets,5
65g,Rasagulla,Indian Sweets,10
50g,Boondi Laddu,Indian Sweets,10
1000g,Kaju Kesar Burfi,Indian Sweets,10
1000g,Kaju Burfi / Khatli,Indian Sweets,126
1000g,Kaju Pista Roll,Indian Sweets,85
35g,Khajoor Laddu,Indian Sweets,10
250g,Sohan Papadi,Temple Prasadam,10
50g,Chandrakala,Indian Sweets,10
250g,Dharwad Peda,Indian Sweets,17
250g,Doodh Peda,Indian Sweets,10
250g,Kesar Peda,Indian Sweets,10
180g,Malai Laddu,Indian Sweets,1
250g,Malai Peda,Indian Sweets,40
250g,Pineapple Roll,Temple Prasadam,20
250g,Rajasthan Peda,Indian Sweets,50
250g,Spl Malai Peda,Indian Sweets,15
250g,Spl Mysore Pak,Indian Sweets,5
50g,Badhusha,Indian Sweets,75
80g,Bele Holige,Indian Sweets,19
180g,Besan Laddu,Indian Sweets,35
250g,Bombay Halwa,Indian Sweets,10
230g,Boondi Laddu,Indian Sweets,10
